,id,story,query,target,target_text,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,task_split
10,f1107c51-c92d-470e-b811-f7fd7ee1b616,[George] is frustrated teaching his son how to drive. His son is [Douglas]. [Douglas] loves spending time with his uncle [Wayne].,"('George', 'Wayne')",3,brother,[George] is frustrated teaching his son how to drive. His son is [Douglas]. [Douglas] loves spending time with his uncle [Wayne].,"[{('George', 'brother', 'Wayne'): [('George', 'son', 'Douglas'), ('Douglas', 'uncle', 'Wayne')]}]",son-uncle,task_1.2,"[(0, 1), (1, 2)]","['son', 'uncle']","(0, 2)","George:male,Douglas:male,Wayne:male",train
11,9bc16723-3ed1-4049-ae28-6c4bcd017c3b,[Ashley] brought her daughter [Nancy] a cake. [Nancy]'s daughter [Lorraine] wanted to eat the cake.,"('Lorraine', 'Ashley')",7,grandmother,[Ashley] brought her daughter [Nancy] a cake. [Nancy]'s daughter [Lorraine] wanted to eat the cake.,"[{('Lorraine', 'grandmother', 'Ashley'): [('Lorraine', 'mother', 'Nancy'), ('Nancy', 'mother', 'Ashley')]}]",mother-mother,task_1.2,"[(0, 1), (1, 2)]","['mother', 'mother']","(0, 2)","Lorraine:female,Nancy:female,Ashley:female",train
12,f5e0caa0-f7f3-4790-9225-f5339cbf3f99,"[Lorraine] and her husband [Robert] were working in the garden when [Nancy], [Lorraine]'s mother, came over and offered to help.","('Nancy', 'Robert')",1,son-in-law,"[Lorraine] and her husband [Robert] were working in the garden when [Nancy], [Lorraine]'s mother, came over and offered to help.","[{('Nancy', 'son-in-law', 'Robert'): [('Nancy', 'daughter', 'Lorraine'), ('Lorraine', 'husband', 'Robert')]}]",daughter-husband,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'husband']","(0, 2)","Nancy:female,Lorraine:female,Robert:male",train
13,aef7b6ba-0cce-4da1-9484-5d00f9a5a4bf,[Amy] and her daughter [Jennifer] are entering the competition together. [Dale] went his brother to pick up his brother's daughter [Jennifer] from a birthday party.,"('Amy', 'Dale')",3,brother,[Amy] and her daughter [Jennifer] are entering the competition together. [Dale] went his brother to pick up his brother's daughter [Jennifer] from a birthday party.,"[{('Amy', 'brother', 'Dale'): [('Amy', 'daughter', 'Jennifer'), ('Jennifer', 'uncle', 'Dale')]}]",daughter-uncle,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'uncle']","(0, 2)","Amy:female,Jennifer:female,Dale:male",train
14,3fb92623-d91b-436e-b7cf-6d2f88b9cdc9,[Theresa] took her father [Clarence] and her daughter [Belva] to the park,"('Belva', 'Clarence')",2,grandfather,[Theresa] took her father [Clarence] and her daughter [Belva] to the park,"[{('Belva', 'grandfather', 'Clarence'): [('Belva', 'mother', 'Theresa'), ('Theresa', 'father', 'Clarence')]}]",mother-father,task_1.2,"[(0, 1), (1, 2)]","['mother', 'father']","(0, 2)","Belva:female,Theresa:female,Clarence:male",train
15,848e7359-edf0-4c9b-bdaf-1f70cf36cbdd,"[Ashley] took her grandson [Douglas] to daycare today. [Lillian] sat anxiously in the airport terminal, waiting to see her son [Douglas] walk through the gate.","('Lillian', 'Ashley')",6,mother,"[Lillian] sat anxiously in the airport terminal, waiting to see her son [Douglas] walk through the gate. [Ashley] took her grandson [Douglas] to daycare today.","[{('Lillian', 'mother', 'Ashley'): [('Lillian', 'son', 'Douglas'), ('Douglas', 'grandmother', 'Ashley')]}]",son-grandmother,task_1.2,"[(0, 1), (1, 2)]","['son', 'grandmother']","(0, 2)","Lillian:female,Douglas:male,Ashley:female",train
16,d046269f-c0ae-46cc-872b-31ed869bfa42,"[April]'s husband, [Douglas], went to visit his mother, [Lillian], at the hospital. As it turned out, she was making a quick recovery.","('April', 'Lillian')",13,mother-in-law,"[April]'s husband, [Douglas], went to visit his mother, [Lillian], at the hospital. As it turned out, she was making a quick recovery.","[{('April', 'mother-in-law', 'Lillian'): [('April', 'husband', 'Douglas'), ('Douglas', 'mother', 'Lillian')]}]",husband-mother,task_1.2,"[(0, 1), (1, 2)]","['husband', 'mother']","(0, 2)","April:female,Douglas:male,Lillian:female",train
17,c0a4024e-c4b0-483e-9312-89d4a9c439bd,[Dennis] and his sister [Jennifer] are going for a walk. [Jennifer] needed to ask her father [Nicholas] for a loan.,"('Dennis', 'Nicholas')",5,father,[Dennis] and his sister [Jennifer] are going for a walk. [Jennifer] needed to ask her father [Nicholas] for a loan.,"[{('Dennis', 'father', 'Nicholas'): [('Dennis', 'sister', 'Jennifer'), ('Jennifer', 'father', 'Nicholas')]}]",sister-father,task_1.2,"[(0, 1), (1, 2)]","['sister', 'father']","(0, 2)","Dennis:male,Jennifer:female,Nicholas:male",train
18,ad9b8779-a486-4a0a-936e-a7db9f46485a,[Rosetta] fixed her husband [Tony] a special dinner yesterday because it was his birthday. [Theresa] and her daughter [Rosetta] were on vaction.,"('Tony', 'Theresa')",13,mother-in-law,[Rosetta] fixed her husband [Tony] a special dinner yesterday because it was his birthday. [Theresa] and her daughter [Rosetta] were on vaction.,"[{('Tony', 'mother-in-law', 'Theresa'): [('Tony', 'wife', 'Rosetta'), ('Rosetta', 'mother', 'Theresa')]}]",wife-mother,task_1.2,"[(0, 1), (1, 2)]","['wife', 'mother']","(0, 2)","Tony:male,Rosetta:female,Theresa:female",train
19,0d7ec6f2-f389-495e-9c6b-8308fdd166b9,"[Charlotte] ca n't wait to see her favorite aunt [Amy]. [Theresa] is married to Thomas and when she was 24, the couple welcomed [Charlotte] into the world.","('Theresa', 'Amy')",4,sister,"[Theresa] is married to Thomas and when she was 24, the couple welcomed [Charlotte] into the world. [Charlotte] ca n't wait to see her favorite aunt [Amy].","[{('Theresa', 'sister', 'Amy'): [('Theresa', 'daughter', 'Charlotte'), ('Charlotte', 'aunt', 'Amy')]}]",daughter-aunt,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'aunt']","(0, 2)","Theresa:female,Charlotte:female,Amy:female",train
20,fe6070cb-1cf0-4597-8c42-422dd6178ec9,[Amy] took her younger sister [Nancy] to the carnival last weekend. [Lorraine] called her mother [Nancy] to let her know she will be back home soon.,"('Lorraine', 'Amy')",0,aunt,[Lorraine] called her mother [Nancy] to let her know she will be back home soon. [Amy] took her younger sister [Nancy] to the carnival last weekend.,"[{('Lorraine', 'aunt', 'Amy'): [('Lorraine', 'mother', 'Nancy'), ('Nancy', 'sister', 'Amy')]}]",mother-sister,task_1.2,"[(0, 1), (1, 2)]","['mother', 'sister']","(0, 2)","Lorraine:female,Nancy:female,Amy:female",train
21,62639304-df2f-4a06-92c9-a98cbca8e1e3,[Nancy] and her nephew [Douglas] played the piano together. [Lillian] loves to make cookies for her son. His name is [Douglas].,"('Lillian', 'Nancy')",4,sister,[Lillian] loves to make cookies for her son. His name is [Douglas]. [Nancy] and her nephew [Douglas] played the piano together.,"[{('Lillian', 'sister', 'Nancy'): [('Lillian', 'son', 'Douglas'), ('Douglas', 'aunt', 'Nancy')]}]",son-aunt,task_1.2,"[(0, 1), (1, 2)]","['son', 'aunt']","(0, 2)","Lillian:female,Douglas:male,Nancy:female",train
22,3a0ba2a7-ef9c-442b-b651-0e5ec09d475f,[Douglas] and his brother [Timothy] are fighting again. [Douglas] id [Lillian]'s only child. They have a really strong bond. They spend a lot of their free time together.,"('Timothy', 'Lillian')",6,mother,[Douglas] and his brother [Timothy] are fighting again. [Douglas] id [Lillian]'s only child. They have a really strong bond. They spend a lot of their free time together.,"[{('Timothy', 'mother', 'Lillian'): [('Timothy', 'brother', 'Douglas'), ('Douglas', 'mother', 'Lillian')]}]",brother-mother,task_1.2,"[(0, 1), (1, 2)]","['brother', 'mother']","(0, 2)","Timothy:male,Douglas:male,Lillian:female",train
23,b445be26-7746-4ac9-b12a-7355855aac58,"[Lillian]'s son, [Timothy], went with her to the store to buy candy for Halloween. [Clarence] was shopping for a new dress for his daughter [Lillian].","('Clarence', 'Timothy')",10,grandson,"[Clarence] was shopping for a new dress for his daughter [Lillian]. [Lillian]'s son, [Timothy], went with her to the store to buy candy for Halloween.","[{('Clarence', 'grandson', 'Timothy'): [('Clarence', 'daughter', 'Lillian'), ('Lillian', 'son', 'Timothy')]}]",daughter-son,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'son']","(0, 2)","Clarence:male,Lillian:female,Timothy:male",train
24,8441bc78-4818-4e76-b8d4-1651a61c8576,[Nancy] and her daughter [Lorraine] went out to dinner. [Clarence] wanted to see his granddaughter [Lorraine] one last time before she went away to college.,"('Nancy', 'Clarence')",5,father,[Nancy] and her daughter [Lorraine] went out to dinner. [Clarence] wanted to see his granddaughter [Lorraine] one last time before she went away to college.,"[{('Nancy', 'father', 'Clarence'): [('Nancy', 'daughter', 'Lorraine'), ('Lorraine', 'grandfather', 'Clarence')]}]",daughter-grandfather,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandfather']","(0, 2)","Nancy:female,Lorraine:female,Clarence:male",train
25,dd461ba3-0d8f-4413-8072-da8959b333dd,"[Douglas] gave his mother [Lillian] flowers on her birthday. [Jerry] loved his mother, [Lillian].","('Douglas', 'Jerry')",3,brother,"[Douglas] gave his mother [Lillian] flowers on her birthday. [Jerry] loved his mother, [Lillian].","[{('Douglas', 'brother', 'Jerry'): [('Douglas', 'mother', 'Lillian'), ('Lillian', 'son', 'Jerry')]}]",mother-son,task_1.2,"[(0, 1), (1, 2)]","['mother', 'son']","(0, 2)","Douglas:male,Lillian:female,Jerry:male",train
26,917d0006-4c81-4fb4-ab1a-55ddf40dc132,"[George] wanted his son, [Timothy], to go fishing with him. [Ann] and her husband [Timothy] went to catch an early movie at the theatre.","('Ann', 'George')",12,father-in-law,"[Ann] and her husband [Timothy] went to catch an early movie at the theatre. [George] wanted his son, [Timothy], to go fishing with him.","[{('Ann', 'father-in-law', 'George'): [('Ann', 'husband', 'Timothy'), ('Timothy', 'father', 'George')]}]",husband-father,task_1.2,"[(0, 1), (1, 2)]","['husband', 'father']","(0, 2)","Ann:female,Timothy:male,George:male",train
27,b94ca744-e8d2-48d7-a436-4ef1f374c2c4,[Lillian] borrowed some money from her brother [Nicholas]. [Lillian]'s son [Timothy] missed seeing his mother on the weekends.,"('Timothy', 'Nicholas')",8,uncle,[Lillian]'s son [Timothy] missed seeing his mother on the weekends. [Lillian] borrowed some money from her brother [Nicholas].,"[{('Timothy', 'uncle', 'Nicholas'): [('Timothy', 'mother', 'Lillian'), ('Lillian', 'brother', 'Nicholas')]}]",mother-brother,task_1.2,"[(0, 1), (1, 2)]","['mother', 'brother']","(0, 2)","Timothy:male,Lillian:female,Nicholas:male",train
28,49219398-24fe-4f0e-ba48-b09eb29cdfc0,"[Lillian] was very proud of her son, [Douglas]. She did n't feel the same way about his brother, [John], she thought he was a disgrace.","('Lillian', 'John')",15,son,"[Lillian] was very proud of her son, [Douglas]. She did n't feel the same way about his brother, [John], she thought he was a disgrace.","[{('Lillian', 'son', 'John'): [('Lillian', 'son', 'Douglas'), ('Douglas', 'brother', 'John')]}]",son-brother,task_1.2,"[(0, 1), (1, 2)]","['son', 'brother']","(0, 2)","Lillian:female,Douglas:male,John:male",train
29,44da4c0c-ce35-42c1-bf48-2853f5d87313,[Amy] has a son named [Dennis]. [Dennis] and his sister [Jennifer] went to the park.,"('Amy', 'Jennifer')",16,daughter,[Amy] has a son named [Dennis]. [Dennis] and his sister [Jennifer] went to the park.,"[{('Amy', 'daughter', 'Jennifer'): [('Amy', 'son', 'Dennis'), ('Dennis', 'sister', 'Jennifer')]}]",son-sister,task_1.2,"[(0, 1), (1, 2)]","['son', 'sister']","(0, 2)","Amy:female,Dennis:male,Jennifer:female",train
30,c9d11a69-d66e-4829-9c9d-658a66fd4bc5,[Nancy] learned that her daughter [Heidi] just got a new job. [Nancy]'s son [Kevin] also works for the same company.,"('Kevin', 'Heidi')",4,sister,[Nancy] learned that her daughter [Heidi] just got a new job. [Nancy]'s son [Kevin] also works for the same company.,"[{('Kevin', 'sister', 'Heidi'): [('Kevin', 'mother', 'Nancy'), ('Nancy', 'daughter', 'Heidi')]}]",mother-daughter,task_1.2,"[(0, 1), (1, 2)]","['mother', 'daughter']","(0, 2)","Kevin:male,Nancy:female,Heidi:female",train
31,2399a7e2-260f-414e-bd50-06e4754eb47b,[Douglas] received a nice gift from his grandfather [Clarence]. [Douglas] was so proud he showed it to his mother [Lillian].,"('Lillian', 'Clarence')",5,father,[Douglas] received a nice gift from his grandfather [Clarence]. [Douglas] was so proud he showed it to his mother [Lillian].,"[{('Lillian', 'father', 'Clarence'): [('Lillian', 'son', 'Douglas'), ('Douglas', 'grandfather', 'Clarence')]}]",son-grandfather,task_1.2,"[(0, 1), (1, 2)]","['son', 'grandfather']","(0, 2)","Lillian:female,Douglas:male,Clarence:male",train
32,60bde542-5210-44a7-a788-ddcb8fdc101e,"[Wayne] asked his brother [George] to help him fix his car and he said he would after he got off work. [John] played catch with his dad, [George]","('Wayne', 'John')",14,nephew,"[Wayne] asked his brother [George] to help him fix his car and he said he would after he got off work. [John] played catch with his dad, [George]","[{('Wayne', 'nephew', 'John'): [('Wayne', 'brother', 'George'), ('George', 'son', 'John')]}]",brother-son,task_1.2,"[(0, 1), (1, 2)]","['brother', 'son']","(0, 2)","Wayne:male,George:male,John:male",train
33,c0175be7-4529-46c2-a4e1-a4ed7d3e6ff6,"[Wayne] took his daughter [Heidi] out for ice cream. His other daughter, [Louise], was still in school and could not go.","('Heidi', 'Louise')",4,sister,"[Wayne] took his daughter [Heidi] out for ice cream. His other daughter, [Louise], was still in school and could not go.","[{('Heidi', 'sister', 'Louise'): [('Heidi', 'father', 'Wayne'), ('Wayne', 'daughter', 'Louise')]}]",father-daughter,task_1.2,"[(0, 1), (1, 2)]","['father', 'daughter']","(0, 2)","Heidi:female,Wayne:male,Louise:female",train
34,6b1b990b-d8cc-411d-af5f-7f30a73b8978,"[Clarence] taught his granddaughter, [Heidi], how to fish. [Wayne] is a good character in the society, He has daughter namely called [Heidi], He does not any expect from others. Also he is sports man. But due to family situation unable to participate in competition, Finally his daughter after some years won in that competition. so he proud bu his daughter","('Wayne', 'Clarence')",5,father,"[Wayne] is a good character in the society, He has daughter namely called [Heidi], He does not any expect from others. Also he is sports man. But due to family situation unable to participate in competition, Finally his daughter after some years won in that competition. so he proud bu his daughter [Clarence] taught his granddaughter, [Heidi], how to fish.","[{('Wayne', 'father', 'Clarence'): [('Wayne', 'daughter', 'Heidi'), ('Heidi', 'grandfather', 'Clarence')]}]",daughter-grandfather,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandfather']","(0, 2)","Wayne:male,Heidi:female,Clarence:male",train
35,39b74317-a854-4d22-9e2e-ab60571f8a98,"[Nicholas] took his son [Dennis] fishing. [Nicholas] and [Dennis] stopped to give [Dennis]'s sister, [Mary], some fish.","('Mary', 'Nicholas')",5,father,"[Nicholas] took his son [Dennis] fishing. [Nicholas] and [Dennis] stopped to give [Dennis]'s sister, [Mary], some fish.","[{('Mary', 'father', 'Nicholas'): [('Mary', 'brother', 'Dennis'), ('Dennis', 'father', 'Nicholas')]}]",brother-father,task_1.2,"[(0, 1), (1, 2)]","['brother', 'father']","(0, 2)","Mary:female,Dennis:male,Nicholas:male",train
36,40b58f70-2785-4c6d-8495-49d331469103,"[Wayne] is supporting his daughters, [Louise] and [Heidi] while they are in school.","('Louise', 'Heidi')",4,sister,"[Wayne] is supporting his daughters, [Louise] and [Heidi] while they are in school.","[{('Louise', 'sister', 'Heidi'): [('Louise', 'father', 'Wayne'), ('Wayne', 'daughter', 'Heidi')]}]",father-daughter,task_1.2,"[(0, 1), (1, 2)]","['father', 'daughter']","(0, 2)","Louise:female,Wayne:male,Heidi:female",train
37,257bcc18-f3f1-40fa-bb04-014e9a7b660c,"[Amy] gave her brother [George] a new sweater for Christmas. [George]'s son, [Timothy], had been misbehaving, so [George] had to spank him.","('Amy', 'Timothy')",14,nephew,"[Amy] gave her brother [George] a new sweater for Christmas. [George]'s son, [Timothy], had been misbehaving, so [George] had to spank him.","[{('Amy', 'nephew', 'Timothy'): [('Amy', 'brother', 'George'), ('George', 'son', 'Timothy')]}]",brother-son,task_1.2,"[(0, 1), (1, 2)]","['brother', 'son']","(0, 2)","Amy:female,George:male,Timothy:male",train
38,f62fe78d-ddfe-48dc-8b9f-d00974a73d9d,[Wayne] and his brother [Nicholas] decided to bake muffins for his daughter [Lorraine]'s first day of school.,"('Nicholas', 'Lorraine')",17,niece,[Wayne] and his brother [Nicholas] decided to bake muffins for his daughter [Lorraine]'s first day of school.,"[{('Nicholas', 'niece', 'Lorraine'): [('Nicholas', 'brother', 'Wayne'), ('Wayne', 'daughter', 'Lorraine')]}]",brother-daughter,task_1.2,"[(0, 1), (1, 2)]","['brother', 'daughter']","(0, 2)","Nicholas:male,Wayne:male,Lorraine:female",train
39,14c58674-c309-48fe-bbe4-f4c4bb82ed61,[Douglas]'s grandfather [Clarence] and brother [Jerry] all went to a hockey game after dinner.,"('Jerry', 'Clarence')",2,grandfather,[Douglas]'s grandfather [Clarence] and brother [Jerry] all went to a hockey game after dinner.,"[{('Jerry', 'grandfather', 'Clarence'): [('Jerry', 'brother', 'Douglas'), ('Douglas', 'grandfather', 'Clarence')]}]",brother-grandfather,task_1.2,"[(0, 1), (1, 2)]","['brother', 'grandfather']","(0, 2)","Jerry:male,Douglas:male,Clarence:male",train
40,5efa0839-e146-4192-8dd2-20b7bb061d01,"[Amy] invited her son [Dennis] to dinner, but not his wife [Emily].","('Amy', 'Emily')",9,daughter-in-law,"[Amy] invited her son [Dennis] to dinner, but not his wife [Emily].","[{('Amy', 'daughter-in-law', 'Emily'): [('Amy', 'son', 'Dennis'), ('Dennis', 'wife', 'Emily')]}]",son-wife,task_1.2,"[(0, 1), (1, 2)]","['son', 'wife']","(0, 2)","Amy:female,Dennis:male,Emily:female",train
41,7152e512-6140-4b58-86f1-e869b9c87b7a,[Nancy] is a woman with a nephew named [Dennis]. [Nicholas] is so proud of his son. [Dennis] is the son's name.,"('Nicholas', 'Nancy')",4,sister,[Nicholas] is so proud of his son. [Dennis] is the son's name. [Nancy] is a woman with a nephew named [Dennis].,"[{('Nicholas', 'sister', 'Nancy'): [('Nicholas', 'son', 'Dennis'), ('Dennis', 'aunt', 'Nancy')]}]",son-aunt,task_1.2,"[(0, 1), (1, 2)]","['son', 'aunt']","(0, 2)","Nicholas:male,Dennis:male,Nancy:female",train
42,bf7d958d-e7a1-43ec-a347-25a5ef81adc0,[Ashley] borrowed her son [Wayne]'s phone. [Wayne]'s daughter [Heidi] was not surprised about it.,"('Ashley', 'Heidi')",11,granddaughter,[Ashley] borrowed her son [Wayne]'s phone. [Wayne]'s daughter [Heidi] was not surprised about it.,"[{('Ashley', 'granddaughter', 'Heidi'): [('Ashley', 'son', 'Wayne'), ('Wayne', 'daughter', 'Heidi')]}]",son-daughter,task_1.2,"[(0, 1), (1, 2)]","['son', 'daughter']","(0, 2)","Ashley:female,Wayne:male,Heidi:female",train
43,85cae383-45c3-4038-99b8-d7c43e11b31c,"[Dennis] went shopping with his wife, [Emily], for a present. His mom, [Amy], had a birthday coming up.","('Emily', 'Amy')",13,mother-in-law,"[Dennis] went shopping with his wife, [Emily], for a present. His mom, [Amy], had a birthday coming up.","[{('Emily', 'mother-in-law', 'Amy'): [('Emily', 'husband', 'Dennis'), ('Dennis', 'mother', 'Amy')]}]",husband-mother,task_1.2,"[(0, 1), (1, 2)]","['husband', 'mother']","(0, 2)","Emily:female,Dennis:male,Amy:female",train
44,95083813-9568-4e7a-bc9d-5e4e80af53de,"[Theresa] and her daughter [Belva] are entering the competition together. [Nancy] likes to make mini pies for her niece, [Belva].","('Theresa', 'Nancy')",4,sister,"[Theresa] and her daughter [Belva] are entering the competition together. [Nancy] likes to make mini pies for her niece, [Belva].","[{('Theresa', 'sister', 'Nancy'): [('Theresa', 'daughter', 'Belva'), ('Belva', 'aunt', 'Nancy')]}]",daughter-aunt,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'aunt']","(0, 2)","Theresa:female,Belva:female,Nancy:female",train
45,3d30fdfd-2ca4-4f11-8c61-a36dca4279d7,[Ashley] was cooking hamburgers with her granddaughter [Belva]. [Belva]'s father [Dale] was slicing vegetables.,"('Dale', 'Ashley')",6,mother,[Ashley] was cooking hamburgers with her granddaughter [Belva]. [Belva]'s father [Dale] was slicing vegetables.,"[{('Dale', 'mother', 'Ashley'): [('Dale', 'daughter', 'Belva'), ('Belva', 'grandmother', 'Ashley')]}]",daughter-grandmother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandmother']","(0, 2)","Dale:male,Belva:female,Ashley:female",train
46,caf5efa8-9f1a-44d9-821a-9813aa884d1b,[Ann] and her husband [Timothy] celebrated their anniversary last night. They went out to a nice restaurant to celebrate. [Timothy]'s mother [Lillian] was present at the thanksgiving service.,"('Ann', 'Lillian')",13,mother-in-law,[Ann] and her husband [Timothy] celebrated their anniversary last night. They went out to a nice restaurant to celebrate. [Timothy]'s mother [Lillian] was present at the thanksgiving service.,"[{('Ann', 'mother-in-law', 'Lillian'): [('Ann', 'husband', 'Timothy'), ('Timothy', 'mother', 'Lillian')]}]",husband-mother,task_1.2,"[(0, 1), (1, 2)]","['husband', 'mother']","(0, 2)","Ann:female,Timothy:male,Lillian:female",train
